Team,Opposition,MatchID,TotalPoints,Tournament,Conversions,Contestable_Restart_Win_Pct,Lineout_Win_Pct,Scrum_Win_Pct,Scores,Tries,Possession Time,Passes,Rucks Attack,% Ruck Success Own,T-Overs Won,Penalty/FK Conceded,Ruck_Maul,Yellow_Red Cards
USA,Argentina,1,45,2019_Cape_Town,0.6,20,1,1,31,5,171,19,8,100,4,2,0,1
AUSTRALIA,USA,1,39,2019_Dubai_7s,0.333333333,50,0,1,17,3,308,51,17,94,3,1,1,0
USA,Australia,2,39,2019_Dubai_7s,0.25,25,0,1,22,4,215,43,6,83,5,4,1,1
Argentina,USA,2,45,2019_Cape_Town,1,0,0,1,14,2,138,24,7,71,2,3,0,1
USA,England,3,31,2019_Cape_Town,0.666666667,33.33333333,1,0,19,3,150,22,6,100,3,1,0,0
England,USA,3,31,2019_Cape_Town,0.5,50,0,1,12,2,167,30,13,85,2,5,2,0
USA,Fiji,4,44,2019_Cape_Town,0,50,1,1,15,3,325,51,12,75,5,2,2,1
FIJI,USA,4,38,2019_Dubai_7s,1,0,1,1,14,2,132,25,1,100,2,4,1,1
USA,Fiji,5,38,2019_Dubai_7s,0.5,75,1,1,24,4,315,63,9,100,3,1,1,0
Fiji,USA,5,44,2019_Cape_Town,0.4,0,0.666666667,1,29,5,178,17,5,80,6,3,0,0
Japan,USA,6,54,2019_Cape_Town,0,0,0,1,0,0,225,45,17,71,3,5,4,0
USA,Japan,6,54,2019_Cape_Town,0.875,42.85714286,1,1,54,8,268,35,5,100,6,3,0,0
NEW ZEALAND,USA,7,26,2019_Dubai_7s,1,0,0.5,1,21,3,212,31,8,75,6,4,2,1
USA,New Zealand,7,43,2019_Cape_Town,0.6,20,1,1,31,5,272,42,14,93,5,1,1,0
NEW ZEALAND,USA,8,31,2019_Dubai_7s,0.5,0,1,1,24,4,276,54,19,84,5,6,4,1
USA,New Zealand,8,26,2019_Dubai_7s,0,50,1,1,5,1,230,55,9,89,3,4,2,0
New Zealand,USA,9,43,2019_Cape_Town,0.5,0,0,0,12,2,148,27,8,63,3,6,3,0
USA,New Zealand,9,31,2019_Dubai_7s,1,0,1,0,7,1,202,45,8,88,3,3,1,1
SPAIN,USA,10,29,2019_Dubai_7s,0,0,1,1,0,0,134,31,7,57,3,5,4,0
USA,Spain,10,55,2019_Cape_Town,0.666666667,40,1,0,38,6,245,35,9,89,3,0,0,0
Spain,USA,11,55,2019_Cape_Town,0.333333333,50,0,1,17,3,124,13,3,33,2,4,1,0
USA,Spain,11,29,2019_Dubai_7s,0.4,25,1,1,29,5,199,30,7,100,5,2,0,0
USA,Wales,12,45,2019_Dubai_7s,0.8,0,0,0,33,5,55,5,1,0,3,2,2,0
WALES,USA,12,45,2019_Dubai_7s,0.5,0,0,1,12,2,125,32,5,80,3,0,0,0
